,index,Datum,Periode,Locatie,Site,Transect,Soortengroep,Aantal,Genus,Lat,Lon,Nauwkeurigheid,Meettoestel,Jaar,geometry,Mowing state,mow_shape_key,Group name,Afstand_rand
91,91,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Apis,50.7726834342357,2.79682701453827,30,GSM,2020,POINT (39129.905243323534 163638.57650969923),,,Apis,
92,92,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Apis,50.7727057300981,2.79654286802075,5,GSM,2020,POINT (39109.91945910867 163641.48024451546),,,Apis,
93,93,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Andrena,50.7727833465215,2.79698199592791,30,GSM,2020,POINT (39141.069817888565 163649.4568175841),,,Other bees,
94,94,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Apis,50.7728493120994,2.79704335145913,30,GSM,2020,POINT (39145.55190184504 163656.70152655896),,,Apis,
95,95,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Nomada,50.7730462449144,2.79762782156728,50,GSM,2020,POINT (39187.23242378609 163677.73110110126),,,Other bees,
96,96,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Apis,50.7730462449144,2.79762782156728,50,GSM,2020,POINT (39187.23242378609 163677.73110110126),,,Apis,
104,104,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Apis,50.8228818979588,2.91213048622283,30,GSM,2020,POINT (47370.82772249484 169055.76445299853),,,Apis,
105,105,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Apis,50.8230594266679,2.91323597543213,30,GSM,2020,POINT (47449.094102846066 169073.98227239773),,,Apis,
106,106,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Apis,50.8225040417638,2.91154702194306,5,GSM,2020,POINT (47328.899397276604 169014.54605173413),,,Apis,
107,107,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Bombus,50.8225040417638,2.91154702194306,5,GSM,2020,POINT (47328.899397276604 169014.54605173413),,,Bombus,
108,108,2020-04-09,p1,Palingbeek,blok,V,Dagvlinders,1,Pieris,50.8227546187591,2.91141282767329,10,GSM,2020,POINT (47319.99240437495 169042.60034893174),,,Butterflies,
109,109,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Bombus,50.8227117872339,2.91204163804922,10,GSM,2020,POINT (47364.197504593016 169036.9677242376),,,Bombus,
110,110,2020-04-09,p1,Palingbeek,blok,V,Bijen,1,Apis,50.8228847897154,2.9121496807811,50,GSM,2020,POINT (47372.18624702665 169056.0595525261),,,Apis,
117,117,2020-04-09,p1,Palingbeek,sinus,V,Dagvlinders,1,Aglais,50.820773597854,2.91432964615795,100,GSM,2020,POINT (47521.16270722226 168818.2462546723),,,Butterflies,
118,118,2020-04-09,p1,Palingbeek,sinus,V,Dagvlinders,1,Gonepteryx,50.821351069073,2.9140369500992,10,GSM,2020,POINT (47501.799783994255 168882.87562175188),,,Butterflies,
119,119,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Apis,50.8218963956934,2.91430374607715,30,GSM,2020,POINT (47521.78325616477 168943.1580269225),,,Apis,
120,120,2020-04-09,p1,Palingbeek,sinus,V,Bijen,1,Apis,50.8215234429117,2.91362087242577,50,GSM,2020,POINT (47472.86256658811 168902.62097293045),,,Apis,
