Part,Site,Locatie,Datum,x_index,y_index,freq,average power
mow,blok,Muziekbos,20220617,15,24,1.25-2.5,0.0033287351837247127
mow,blok,Muziekbos,20220617,16,12,1.25-2.5,0.010063718737977925
mow,blok,Muziekbos,20220617,16,13,1.25-2.5,0.0036991660675524556
mow,blok,Muziekbos,20220617,16,14,1.25-2.5,0.0030450557606481452
mow,blok,Muziekbos,20220617,16,15,1.25-2.5,0.002735396473557799
mow,blok,Muziekbos,20220617,16,16,1.25-2.5,0.002893481932597838
mow,blok,Muziekbos,20220617,16,17,1.25-2.5,0.012135963428826321
mow,blok,Muziekbos,20220617,16,18,1.25-2.5,0.006221668131145842
mow,blok,Muziekbos,20220617,16,19,1.25-2.5,0.002964372493170358
mow,blok,Muziekbos,20220617,16,20,1.25-2.5,0.007987868319024573
mow,blok,Muziekbos,20220617,16,21,1.25-2.5,0.002606867159996833
mow,blok,Muziekbos,20220617,16,22,1.25-2.5,0.003385618080348124
mow,blok,Muziekbos,20220617,16,23,1.25-2.5,0.005112865343516245
mow,blok,Muziekbos,20220617,16,24,1.25-2.5,0.002545335681844147
mow,blok,Muziekbos,20220617,16,25,1.25-2.5,0.004297834131823275
mow,blok,Muziekbos,20220617,17,13,1.25-2.5,0.005346854891810384
mow,blok,Muziekbos,20220617,17,14,1.25-2.5,0.004980305244316865
mow,blok,Muziekbos,20220617,17,15,1.25-2.5,0.003620384145172048
mow,blok,Muziekbos,20220617,17,16,1.25-2.5,0.004999783530935541
mow,blok,Muziekbos,20220617,17,17,1.25-2.5,0.0075368384575788235
mow,blok,Muziekbos,20220617,17,18,1.25-2.5,0.006359791916845006
mow,blok,Muziekbos,20220617,17,19,1.25-2.5,0.008494142757984864
mow,blok,Muziekbos,20220617,17,20,1.25-2.5,0.0034879441694779826
mow,blok,Muziekbos,20220617,17,21,1.25-2.5,0.004353150718417757
mow,blok,Muziekbos,20220617,17,22,1.25-2.5,0.007208502717785069
mow,blok,Muziekbos,20220617,17,23,1.25-2.5,0.013799350906363177
mow,blok,Muziekbos,20220617,17,24,1.25-2.5,0.006191095302710722
mow,blok,Muziekbos,20220617,17,25,1.25-2.5,0.008558742894437208
mow,blok,Muziekbos,20220617,18,13,1.25-2.5,0.002619165379406411
mow,blok,Muziekbos,20220617,18,14,1.25-2.5,0.001478228437039124
mow,blok,Muziekbos,20220617,18,15,1.25-2.5,0.0025960870333762713
mow,blok,Muziekbos,20220617,18,16,1.25-2.5,0.007865527284728897
mow,blok,Muziekbos,20220617,18,17,1.25-2.5,0.005365704645365824
mow,blok,Muziekbos,20220617,18,18,1.25-2.5,0.007392982491802225
mow,blok,Muziekbos,20220617,18,19,1.25-2.5,0.003191098060919133
mow,blok,Muziekbos,20220617,18,20,1.25-2.5,0.004122583249232152
mow,blok,Muziekbos,20220617,18,21,1.25-2.5,0.009197061350851347
mow,blok,Muziekbos,20220617,18,22,1.25-2.5,0.004728461101060703
mow,blok,Muziekbos,20220617,18,23,1.25-2.5,0.007533691212847517
mow,blok,Muziekbos,20220617,18,24,1.25-2.5,0.003958366158958915
mow,blok,Muziekbos,20220617,18,25,1.25-2.5,0.004284408131401578
mow,blok,Muziekbos,20220617,18,26,1.25-2.5,0.004594943151051626
mow,blok,Muziekbos,20220617,19,14,1.25-2.5,0.003258587850001586
mow,blok,Muziekbos,20220617,19,15,1.25-2.5,0.004854426675743156
mow,blok,Muziekbos,20220617,19,16,1.25-2.5,0.002927079631454183
mow,blok,Muziekbos,20220617,19,17,1.25-2.5,0.0039831884952136135
mow,blok,Muziekbos,20220617,19,18,1.25-2.5,0.0036334213788137013
mow,blok,Muziekbos,20220617,19,19,1.25-2.5,0.004838966247918722
mow,blok,Muziekbos,20220617,19,20,1.25-2.5,0.0037582152595608937
mow,blok,Muziekbos,20220617,19,21,1.25-2.5,0.005905841136034274
mow,blok,Muziekbos,20220617,19,22,1.25-2.5,0.0038035025352086776
mow,blok,Muziekbos,20220617,19,23,1.25-2.5,0.007507706171982771
mow,blok,Muziekbos,20220617,19,24,1.25-2.5,0.004730955467913257
mow,blok,Muziekbos,20220617,19,25,1.25-2.5,0.004537356672309217
mow,blok,Muziekbos,20220617,19,26,1.25-2.5,0.004407262399202182
mow,blok,Muziekbos,20220617,20,14,1.25-2.5,0.0028009280180319764
mow,blok,Muziekbos,20220617,20,15,1.25-2.5,0.004685937285701157
mow,blok,Muziekbos,20220617,20,16,1.25-2.5,0.001890577152892426
mow,blok,Muziekbos,20220617,20,17,1.25-2.5,0.004299875950757718
mow,blok,Muziekbos,20220617,20,18,1.25-2.5,0.006510717979955784
mow,blok,Muziekbos,20220617,20,19,1.25-2.5,0.0053697478743422004
mow,blok,Muziekbos,20220617,20,20,1.25-2.5,0.004686108096774085
mow,blok,Muziekbos,20220617,20,21,1.25-2.5,0.0020380075272424516
mow,blok,Muziekbos,20220617,20,22,1.25-2.5,0.004294148853053023
mow,blok,Muziekbos,20220617,20,23,1.25-2.5,0.004689244557093907
mow,blok,Muziekbos,20220617,20,24,1.25-2.5,0.0018192129201822348
mow,blok,Muziekbos,20220617,20,25,1.25-2.5,0.006427102633567401
mow,blok,Muziekbos,20220617,20,26,1.25-2.5,0.002605911115388492
mow,blok,Muziekbos,20220617,20,27,1.25-2.5,0.003224846196897102
mow,blok,Muziekbos,20220617,21,15,1.25-2.5,0.004471367914359886
mow,blok,Muziekbos,20220617,21,16,1.25-2.5,0.0027824239241771207
mow,blok,Muziekbos,20220617,21,17,1.25-2.5,0.005465285552965177
mow,blok,Muziekbos,20220617,21,18,1.25-2.5,0.004596257204220289
mow,blok,Muziekbos,20220617,21,19,1.25-2.5,0.005213151556072814
mow,blok,Muziekbos,20220617,21,20,1.25-2.5,0.003946644342862643
mow,blok,Muziekbos,20220617,21,21,1.25-2.5,0.0039671831531124515
mow,blok,Muziekbos,20220617,21,22,1.25-2.5,0.007202245939028013
mow,blok,Muziekbos,20220617,21,23,1.25-2.5,0.003923979218189533
mow,blok,Muziekbos,20220617,21,24,1.25-2.5,0.0022834135852493605
mow,blok,Muziekbos,20220617,21,25,1.25-2.5,0.004946506656966843
mow,blok,Muziekbos,20220617,21,26,1.25-2.5,0.004862818798540911
mow,blok,Muziekbos,20220617,21,27,1.25-2.5,0.003989834546487092
mow,blok,Muziekbos,20220617,22,15,1.25-2.5,0.010727802428887996
mow,blok,Muziekbos,20220617,22,16,1.25-2.5,0.0077566864885094565
mow,blok,Muziekbos,20220617,22,17,1.25-2.5,0.006758724403825951
mow,blok,Muziekbos,20220617,22,18,1.25-2.5,0.006108200377795523
mow,blok,Muziekbos,20220617,22,19,1.25-2.5,0.00763585723085559
mow,blok,Muziekbos,20220617,22,20,1.25-2.5,0.00917493256099852
mow,blok,Muziekbos,20220617,22,21,1.25-2.5,0.006179799711231863
mow,blok,Muziekbos,20220617,22,22,1.25-2.5,0.006916972140332202
mow,blok,Muziekbos,20220617,22,23,1.25-2.5,0.0066096855265833
mow,blok,Muziekbos,20220617,22,24,1.25-2.5,0.007480756236123038
mow,blok,Muziekbos,20220617,22,25,1.25-2.5,0.0031583685641522175
mow,blok,Muziekbos,20220617,22,26,1.25-2.5,0.004433290433216762
mow,blok,Muziekbos,20220617,22,27,1.25-2.5,0.0056443686501963155
mow,blok,Muziekbos,20220617,23,15,1.25-2.5,0.0034901287450101273
mow,blok,Muziekbos,20220617,23,16,1.25-2.5,0.009771958172738135
mow,blok,Muziekbos,20220617,23,17,1.25-2.5,0.01475067029188285
mow,blok,Muziekbos,20220617,23,18,1.25-2.5,0.025614305531784093
mow,blok,Muziekbos,20220617,23,19,1.25-2.5,0.006094633188003148
mow,blok,Muziekbos,20220617,23,20,1.25-2.5,0.007185042960382563
mow,blok,Muziekbos,20220617,23,21,1.25-2.5,0.009636223833044093
mow,blok,Muziekbos,20220617,23,22,1.25-2.5,0.0027778290451823417
mow,blok,Muziekbos,20220617,23,23,1.25-2.5,0.013954854367218373
mow,blok,Muziekbos,20220617,23,24,1.25-2.5,0.005135472787843718
mow,blok,Muziekbos,20220617,23,25,1.25-2.5,0.004102560918092172
mow,blok,Muziekbos,20220617,23,26,1.25-2.5,0.004416463066647937
mow,blok,Muziekbos,20220617,23,27,1.25-2.5,0.003307736478485428
mow,blok,Muziekbos,20220617,24,16,1.25-2.5,0.005262131521473953
mow,blok,Muziekbos,20220617,24,17,1.25-2.5,0.004453528349771922
mow,blok,Muziekbos,20220617,24,18,1.25-2.5,0.0055050172033287706
mow,blok,Muziekbos,20220617,24,19,1.25-2.5,0.004779412729756816
mow,blok,Muziekbos,20220617,24,20,1.25-2.5,0.008671846245274398
mow,blok,Muziekbos,20220617,24,21,1.25-2.5,0.005040034697606013
mow,blok,Muziekbos,20220617,24,22,1.25-2.5,0.004349740312927531
mow,blok,Muziekbos,20220617,24,23,1.25-2.5,0.0019223633290448665
mow,blok,Muziekbos,20220617,24,24,1.25-2.5,0.004661429156234492
mow,blok,Muziekbos,20220617,24,25,1.25-2.5,0.005518501210601735
mow,blok,Muziekbos,20220617,25,16,1.25-2.5,0.0031601299939455684
mow,blok,Muziekbos,20220617,25,17,1.25-2.5,0.004086414389399104
mow,blok,Muziekbos,20220617,25,18,1.25-2.5,0.007473731830125644
mow,blok,Muziekbos,20220617,25,19,1.25-2.5,0.011011443427114775
mow,blok,Muziekbos,20220617,25,20,1.25-2.5,0.006106123429634076
mow,blok,Muziekbos,20220617,25,21,1.25-2.5,0.00523050936229857
mow,blok,Muziekbos,20220617,25,22,1.25-2.5,0.003942805770393852
mow,blok,Muziekbos,20220617,25,23,1.25-2.5,0.0012912980673752187
mow,blok,Muziekbos,20220617,26,17,1.25-2.5,0.006089588609330859
mow,blok,Muziekbos,20220617,26,18,1.25-2.5,0.023028192464566177
mow,blok,Muziekbos,20220617,26,19,1.25-2.5,0.0072393849012735
mow,blok,Muziekbos,20220617,26,20,1.25-2.5,0.006481065839042753
mow,blok,Muziekbos,20220617,26,21,1.25-2.5,0.003343831919012092
mow,blok,Muziekbos,20220617,27,17,1.25-2.5,0.004595455139667004
mow,blok,Muziekbos,20220617,27,18,1.25-2.5,0.00524735794478641
mow,blok,Muziekbos,20220705,1,17,1.25-2.5,0.008032944774849986
mow,blok,Muziekbos,20220705,1,18,1.25-2.5,0.009904312965197441
mow,blok,Muziekbos,20220705,2,15,1.25-2.5,0.0132613036849282
mow,blok,Muziekbos,20220705,2,16,1.25-2.5,0.012699902124338216
mow,blok,Muziekbos,20220705,2,17,1.25-2.5,0.011483766549117081
mow,blok,Muziekbos,20220705,2,18,1.25-2.5,0.01049926374342058
mow,blok,Muziekbos,20220705,3,13,1.25-2.5,0.007317802872691121
mow,blok,Muziekbos,20220705,3,14,1.25-2.5,0.012548824290295583
mow,blok,Muziekbos,20220705,3,15,1.25-2.5,0.012382759247626458
mow,blok,Muziekbos,20220705,3,16,1.25-2.5,0.01694676801597044
mow,blok,Muziekbos,20220705,3,17,1.25-2.5,0.0128933343742833
mow,blok,Muziekbos,20220705,3,18,1.25-2.5,0.009355892696024933
mow,blok,Muziekbos,20220705,3,19,1.25-2.5,0.008767832709359121
mow,blok,Muziekbos,20220705,4,12,1.25-2.5,0.015088598778197815
mow,blok,Muziekbos,20220705,4,13,1.25-2.5,0.01221063227086634
mow,blok,Muziekbos,20220705,4,14,1.25-2.5,0.011039944239707538
